code,dividend,count,record_months,fetched_date
3865,26.0,2,3;9,2026-07-06
386A,24.66,1,6,2026-07-06
3877,120.0,2,3;9,2026-07-06
3878,15.0,1,3,2026-07-06
3880,14.0,2,3;9,2026-07-06
3891,110.0,2,3;9,2026-07-06
3892,50.0,2,5;11,2026-07-06
3895,16.0,1,3,2026-07-06
3896,2.0,1,3,2026-07-07
3901,58.0,1,12,2026-07-06
3903,5.0,1,4,2026-07-07
3904,3.9,1,12,2026-07-06
3907,10.0,1,11,2026-07-06
3908,6.0,1,3,2026-07-06
3909,6.5,1,12,2026-07-07
3910,8.0,1,3,2026-07-06
3911,2.0,1,12,2026-07-07
3912,51.0,2,6;12,2026-07-06
3915,17.0,1,2,2026-07-06
3916,75.0,2,6;12,2026-07-06
3918,58.0,2,3;9,2026-07-06
3920,22.0,2,3;9,2026-07-06
3921,54.0,2,1;7,2026-07-06
3922,16.8,1,2,2026-07-06
3923,8.0,1,3,2026-07-06
3925,70.0,1,3,2026-07-06
3927,16.0,2,3;9,2026-07-06
3928,12.0,2,6;12,2026-07-07
3929,13.0,2,3;9,2026-07-07
3931,25.0,1,1,2026-07-06
3932,55.0,1,3,2026-07-06
3933,23.0,1,3,2026-07-06
3934,97.0,1,3,2026-07-06
3935,17.0,1,2,2026-07-06
3937,40.0,1,3,2026-07-07
3939,9.0,1,9,2026-07-06
3940,3.55,1,12,2026-07-06
3941,50.0,2,3;9,2026-07-06
3943,52.0,2,3;9,2026-07-06
3944,50.0,2,6;12,2026-07-06
3945,110.0,1,3,2026-07-06
3946,170.0,2,3;9,2026-07-06
3947,80.0,1,12,2026-07-06
3948,50.0,2,6;12,2026-07-06
3950,42.0,2,6;12,2026-07-06
3951,38.0,2,3;9,2026-07-06
3953,30.0,1,3,2026-07-06
3954,50.0,2,3;9,2026-07-06
3955,30.0,1,1,2026-07-06
3958,18.0,2,6;12,2026-07-06
3962,26.0,1,3,2026-07-06
3963,15.0,1,3,2026-07-06
3964,40.0,2,6;12,2026-07-06
3965,19.0,2,3;9,2026-07-06
3968,18.0,2,6;12,2026-07-06
3969,36.0,2,3;9,2026-07-06
3970,40.0,1,3,2026-07-06
3974,14.0,2,4;10,2026-07-06
3979,4.3,1,3,2026-07-06
3981,45.0,1,12,2026-07-06
3983,50.0,2,6;12,2026-07-06
3984,20.0,2,6;12,2026-07-06
3986,30.0,1,6,2026-07-06
3988,8.0,1,7,2026-07-06
3989,55.0,2,3;9,2026-07-06
3991,20.0,1,8,2026-07-06
3992,12.0,1,9,2026-07-06
3996,2.5,1,2,2026-07-07
3997,2.0,1,12,2026-07-06
4004,65.0,1,12,2026-07-06
4005,16.0,2,3;9,2026-07-06
4008,200.0,2,3;9,2026-07-06
4012,57.0,1,12,2026-07-06
4013,10.0,1,12,2026-07-06
4016,30.0,1,11,2026-07-06
4019,8.0,1,12,2026-07-06
4021,212.0,2,3;9,2026-07-06
4022,36.0,2,3;9,2026-07-06
4023,216.0,2,3;9,2026-07-06
4025,80.0,1,12,2026-07-06
4026,46.0,2,4;10,2026-07-06
4027,80.0,2,3;9,2026-07-06
4028,130.0,2,3;9,2026-07-06
4031,28.0,1,3,2026-07-06
4040,65.0,2,3;9,2026-07-06
4041,160.0,2,3;9,2026-07-06
4042,100.0,2,3;9,2026-07-06
4043,120.0,2,3;9,2026-07-06
4044,170.0,2,3;9,2026-07-06
4045,70.0,2,6;12,2026-07-06
4046,28.0,2,3;9,2026-07-06
4047,36.0,2,3;9,2026-07-06
4051,125.0,1,9,2026-07-06
4054,8.0,1,6,2026-07-06
4055,11.0,1,9,2026-07-06
4058,27.0,1,12,2026-07-06
4060,14.0,1,12,2026-07-06
4061,100.0,2,3;9,2026-07-06
4062,35.0,2,3;9,2026-07-06
4063,106.0,2,3;9,2026-07-06
4064,134.0,2,3;9,2026-07-06
4071,38.0,1,9,2026-07-06
4072,100.0,2,6;12,2026-07-06
4073,16.0,1,6,2026-07-07
4076,50.0,1,5,2026-07-06
4078,160.0,2,3;9,2026-07-06
407A,45.0,2,6;12,2026-07-06
4082,30.0,2,3;9,2026-07-06
4088,75.0,2,3;9,2026-07-06
4091,66.0,2,3;9,2026-07-06
4092,60.0,1,3,2026-07-06
4093,14.0,2,3;9,2026-07-06
4094,90.0,2,3;9,2026-07-06
4095,50.0,2,3;9,2026-07-06
4097,40.0,2,3;9,2026-07-06
4098,12.0,1,3,2026-07-06
4099,60.0,2,6;12,2026-07-06
409A,34.0,2,3;9,2026-07-06
4100,40.0,2,3;9,2026-07-07
4102,30.0,1,3,2026-07-06
4107,40.0,2,6;12,2026-07-06
4109,180.0,2,3;9,2026-07-06
410A,48.24,1,12,2026-07-06
4112,60.0,2,3;9,2026-07-06
4113,6.0,2,3;9,2026-07-06
4114,100.0,2,3;9,2026-07-06
4116,55.0,2,3;9,2026-07-06
4118,210.0,2,3;9,2026-07-06
4119,100.0,1,3,2026-07-06
4120,90.0,1,3,2026-07-06
4124,37.0,1,9,2026-07-06
4125,50.0,1,3,2026-07-06
414A,36.2,1,8,2026-07-07
4151,70.0,2,6;12,2026-07-06
415A,276.5,1,12,2026-07-06
4168,14.0,2,6;12,2026-07-06
416A,62.0,2,3;9,2026-07-06
4171,52.0,2,6;12,2026-07-06
4172,88.0,2,3;9,2026-07-06
4174,29.0,2,1;7,2026-07-06
4177,54.0,1,3,2026-07-06
417A,32.0,2,3;9,2026-07-06
4180,2.3,1,12,2026-07-06
4182,110.0,2,3;9,2026-07-06
4183,75.0,2,3;9,2026-07-06
4186,80.0,2,6;12,2026-07-06
4187,80.0,2,5;11,2026-07-06
4188,32.0,2,3;9,2026-07-06
4189,110.0,2,6;12,2026-07-06
4193,40.0,2,3;9,2026-07-06
4197,78.0,2,5;11,2026-07-06
4198,22.0,1,5,2026-07-06
4202,60.0,2,3;9,2026-07-06
4203,120.0,2,3;9,2026-07-06
4204,81.0,2,3;9,2026-07-06
4205,79.0,2,3;9,2026-07-06
4206,140.0,2,3;9,2026-07-06
4208,110.0,2,3;9,2026-07-06
4212,82.0,2,3;9,2026-07-06
4216,130.0,2,3;9,2026-07-06
4218,40.0,1,3,2026-07-06
4220,54.0,2,3;9,2026-07-06
4221,220.0,2,6;12,2026-07-06
4222,10.0,1,3,2026-07-06
4224,85.0,1,3,2026-07-06
4228,17.0,2,3;9,2026-07-06
4229,100.0,2,3;9,2026-07-06
4231,38.0,2,3;9,2026-07-06
4234,18.0,2,3;9,2026-07-06
4235,35.0,1,12,2026-07-06
4237,6.0,1,3,2026-07-06
4238,10.0,1,1,2026-07-06
423A,15.0,2,3;9,2026-07-06
4240,5.0,1,3,2026-07-06
4241,10.0,1,3,2026-07-06
4242,60.0,2,3;9,2026-07-06
4243,20.0,1,9,2026-07-06
4245,24.0,2,6;12,2026-07-06
4246,57.0,2,3;9,2026-07-06
4247,42.0,2,3;9,2026-07-06
4248,38.0,2,6;12,2026-07-06
4249,125.0,2,3;9,2026-07-06
4251,50.0,1,12,2026-07-06
4259,5.0,1,3,2026-07-06
4262,64.0,2,3;9,2026-07-06
4270,25.0,1,2,2026-07-06
4272,66.0,2,3;9,2026-07-06
4274,13.0,1,3,2026-07-06
4275,42.0,1,3,2026-07-06
4284,14.0,1,12,2026-07-06
4286,31.0,1,12,2026-07-06
4287,13.0,1,1,2026-07-06
4288,5.0,1,3,2026-07-06
428A,10.0,1,8,2026-07-06
4290,28.0,2,3;9,2026-07-06
4293,18.0,1,12,2026-07-06
4299,51.0,2,3;9,2026-07-06
429A,70.0,2,3;9,2026-07-06
4301,64.0,2,3;9,2026-07-06
4307,84.0,2,3;9,2026-07-06
4308,14.0,1,3,2026-07-06
4310,106.0,1,3,2026-07-06
4317,15.0,1,2,2026-07-06
4318,38.0,2,3;9,2026-07-06
4320,24.0,1,9,2026-07-06
4323,50.0,2,3;9,2026-07-06
4324,139.5,2,6;12,2026-07-07
4326,48.0,2,6;12,2026-07-06
4331,40.0,2,6;12,2026-07-06
4334,10.0,1,1,2026-07-06
4335,38.0,1,6,2026-07-06
4337,30.0,1,3,2026-07-06
4341,45.0,2,3;9,2026-07-06
4343,20.0,2,2;8,2026-07-06
4344,0.41,1,3,2026-07-07
4345,30.0,2,3;9,2026-07-06
4346,20.0,1,9,2026-07-06
4347,65.0,1,3,2026-07-06
4350,12.0,2,3;9,2026-07-06
4351,10.0,1,12,2026-07-06
4356,40.0,1,12,2026-07-06
4360,15.0,2,3;9,2026-07-06
4361,60.0,1,11,2026-07-06
4362,104.0,2,3;9,2026-07-06
4365,400.0,1,3,2026-07-07
4366,9.0,1,3,2026-07-06
4367,100.0,2,3;9,2026-07-06
4368,28.0,2,3;9,2026-07-06
4369,35.0,1,1,2026-07-06
4371,21.0,1,12,2026-07-06
4372,20.0,1,12,2026-07-06
4373,24.0,1,3,2026-07-06
4374,31.0,1,12,2026-07-06
4377,34.0,1,12,2026-07-06
4380,13.0,1,1,2026-07-06
4386,33.0,2,3;9,2026-07-06
4388,3.0,1,3,2026-07-07
4389,32.0,1,3,2026-07-06
4390,40.0,2,3;9,2026-07-06
4391,18.0,1,6,2026-07-06
4392,10.0,1,12,2026-07-06
4394,21.0,1,11,2026-07-06
4395,10.0,2,6;12,2026-07-06
4396,60.0,2,6;12,2026-07-06
4398,16.0,2,6;12,2026-07-06
4401,120.0,2,3;9,2026-07-06
4403,70.0,2,3;9,2026-07-06
4404,70.0,1,12,2026-07-06
4406,4.5,1,3,2026-07-06
4409,22.0,1,3,2026-07-06
4410,42.0,2,3;9,2026-07-06
4412,1.0,1,8,2026-07-06
4413,10.1,1,2,2026-07-06
4415,21.16,1,12,2026-07-06
4417,49.11,2,3;9,2026-07-06
441A,70.0,1,4,2026-07-07
4420,5.5,2,6;12,2026-07-06
4421,28.0,1,9,2026-07-06
4427,30.0,1,9,2026-07-07
4428,17.0,2,6;12,2026-07-06
4430,57.0,1,5,2026-07-06
4431,29.0,1,4,2026-07-06
4432,108.0,2,2;8,2026-07-06
4433,37.5,2,2;8,2026-07-06
4434,30.0,2,2;8,2026-07-06
4436,26.0,1,3,2026-07-07
4437,5.0,1,3,2026-07-06
4439,11.0,2,2;8,2026-07-06
4440,18.0,1,8,2026-07-06
4441,20.0,1,10,2026-07-06
4442,4.0,1,3,2026-07-06
4447,10.0,1,9,2026-07-06
4450,26.0,2,6;12,2026-07-06
4452,117.0,2,6;12,2026-07-06
4461,150.0,2,3;9,2026-07-06
4462,48.0,2,3;9,2026-07-06
4463,70.0,2,6;12,2026-07-06
4464,68.0,2,3;9,2026-07-06
4465,76.0,2,5;11,2026-07-06
446A,33.0,1,1,2026-07-06
4471,175.0,2,3;9,2026-07-06
4475,6.0,2,3;9,2026-07-06
4477,5.0,1,12,2026-07-06
4481,186.0,2,6;12,2026-07-06
4482,18.0,2,6;12,2026-07-06
4483,18.0,1,3,2026-07-07
4484,3.0,1,3,2026-07-06
4486,16.0,1,12,2026-07-06
4491,60.0,1,3,2026-07-06
4492,12.5,2,3;9,2026-07-06
4493,6.0,1,12,2026-07-06
4495,34.0,2,6;12,2026-07-06
4496,42.0,2,3;9,2026-07-06
4498,14.0,1,3,2026-07-06
4502,204.0,2,3;9,2026-07-06
4503,80.0,2,3;9,2026-07-06
4506,28.0,2,3;9,2026-07-07
4507,76.0,2,3;9,2026-07-06
4512,3.5,1,3,2026-07-06
4516,124.0,2,3;9,2026-07-06
4519,250.0,2,6;12,2026-07-06
4521,190.0,2,3;9,2026-07-06
4523,160.0,2,3;9,2026-07-06
4524,65.0,1,3,2026-07-06
4526,110.0,2,3;9,2026-07-06
4527,50.0,2,3;9,2026-07-06
4528,80.0,2,3;9,2026-07-06
4531,10.0,1,3,2026-07-06
4534,85.0,2,3;9,2026-07-06
4536,42.0,2,3;9,2026-07-06
4538,90.0,2,3;9,2026-07-06
4539,50.0,1,3,2026-07-06
4540,158.0,2,3;9,2026-07-06
4543,36.0,2,3;9,2026-07-06
4544,125.0,2,3;9,2026-07-06
4547,170.0,2,3;9,2026-07-06
4548,30.0,2,3;9,2026-07-06
4549,58.0,2,3;9,2026-07-06
4552,20.0,2,3;9,2026-07-06
4553,85.0,2,3;9,2026-07-06
4554,47.0,2,3;9,2026-07-06
4558,5.0,2,3;9,2026-07-06
4559,50.0,2,3;9,2026-07-06
4568,100.0,2,3;9,2026-07-06
4569,25.0,2,3;9,2026-07-06
4570,7.5,1,3,2026-07-06
4574,3.5,1,12,2026-07-06
4577,40.0,2,5;11,2026-07-06
4578,140.0,2,6;12,2026-07-06
4587,1.5,1,6,2026-07-07
4595,100.0,2,6;12,2026-07-06
4611,58.0,1,3,2026-07-06
4612,17.0,2,6;12,2026-07-06
4613,110.0,2,3;9,2026-07-06
4615,2.5,1,3,2026-07-07
4616,45.0,1,11,2026-07-06
4617,100.0,2,3;9,2026-07-06
4619,130.0,2,3;9,2026-07-06
4620,18.0,2,3;9,2026-07-06
4623,60.0,2,3;9,2026-07-06
4624,50.0,2,3;9,2026-07-06
4625,20.0,1,3,2026-07-06
4626,290.0,2,3;9,2026-07-06
4627,54.0,2,4;10,2026-07-06
4628,180.0,1,3,2026-07-06
4629,45.0,1,3,2026-07-06
4631,140.0,2,6;12,2026-07-06
4633,100.0,2,6;12,2026-07-06
4634,120.0,2,6;12,2026-07-06
4635,65.0,2,3;9,2026-07-06
463A,24.0,1,5,2026-07-06
4641,108.0,2,6;12,2026-07-06
4642,40.0,1,12,2026-07-06
4644,60.0,2,3;9,2026-07-06
4645,10.0,1,2,2026-07-06
4650,1.56,1,3,2026-07-07
4651,3.0,1,3,2026-07-06
4657,8.0,1,6,2026-07-06
4658,57.0,2,3;9,2026-07-06
4661,16.0,2,3;9,2026-07-06
4662,68.0,2,3;9,2026-07-06
4664,24.0,2,3;9,2026-07-06
4665,125.0,2,3;9,2026-07-06
4666,65.0,1,10,2026-07-06
4667,37.0,1,3,2026-07-06
4668,28.0,2,2;8,2026-07-06
4671,128.0,2,3;9,2026-07-06
4673,80.0,2,5;11,2026-07-06
4674,70.0,2,3;9,2026-07-06
4676,200.0,2,3;9,2026-07-06
4678,10.0,1,3,2026-07-06
4679,22.0,1,3,2026-07-07
4680,18.0,2,3;9,2026-07-06
4681,36.0,2,3;9,2026-07-06
4684,94.0,2,3;9,2026-07-06
4685,100.0,2,3;9,2026-07-06
4686,24.0,2,3;9,2026-07-06
4687,34.0,1,3,2026-07-06
4689,11.0,1,3,2026-07-06
4691,45.0,1,3,2026-07-06
4694,125.0,2,3;9,2026-07-06
4704,125.0,1,12,2026-07-07
4705,40.0,1,3,2026-07-06
4707,7.0,1,10,2026-07-06
4709,50.0,2,3;9,2026-07-06
4712,11.0,1,12,2026-07-06
4714,10.0,1,2,2026-07-06
4716,91.0,1,5,2026-07-06
4718,75.0,2,3;9,2026-07-06
4719,140.0,2,3;9,2026-07-06
471A,76.0,2,6;12,2026-07-06
4720,5.0,1,3,2026-07-06
4722,48.0,2,6;12,2026-07-06
4725,100.0,2,6;12,2026-07-06
4728,25.0,2,2;8,2026-07-06
4732,55.0,2,3;9,2026-07-06
4733,130.0,2,3;9,2026-07-06
4735,7.81,1,2,2026-07-06
4736,10.0,1,3,2026-07-06
4743,80.0,2,3;9,2026-07-06
4746,173.0,2,6;12,2026-07-06
4750,22.0,2,4;10,2026-07-06
4751,19.0,1,9,2026-07-06
4752,61.0,1,3,2026-07-06
4754,37.0,1,9,2026-07-06
4755,4.5,1,12,2026-07-07
4760,60.0,1,8,2026-07-06
4761,62.0,2,3;9,2026-07-06
4762,70.0,2,3;9,2026-07-06
4763,50.0,1,2,2026-07-06
4765,13.75,1,3,2026-07-07
4766,5.2,1,12,2026-07-06
4767,15.0,2,6;12,2026-07-06
4768,95.0,2,6;12,2026-07-06
4769,40.0,1,9,2026-07-06
4771,60.0,2,3;9,2026-07-06
4772,1.0,1,12,2026-07-06
4776,50.0,1,12,2026-07-06
4783,120.0,2,3;9,2026-07-06
4784,6.9,1,12,2026-07-07
4792,77.0,2,3;9,2026-07-06
4800,36.0,1,3,2026-07-06
4801,40.0,2,3;9,2026-07-06
4809,70.0,1,9,2026-07-06
4811,20.0,1,12,2026-07-06
4812,45.0,2,6;12,2026-07-06
4813,3.0,1,1,2026-07-07
4816,44.0,1,3,2026-07-06
4819,47.0,1,3,2026-07-06
4820,32.0,2,6;12,2026-07-06
4825,90.0,2,5;11,2026-07-06
4826,16.0,2,6;12,2026-07-06
4828,42.0,2,3;9,2026-07-06
4829,3.0,1,5,2026-07-06
4832,70.0,2,3;9,2026-07-06
4838,30.0,1,3,2026-07-06
4839,30.0,1,3,2026-07-06
483A,90.0,2,3;9,2026-07-06
4840,6.0,1,12,2026-07-06
4845,17.0,2,6;12,2026-07-06
4847,37.0,2,6;12,2026-07-06
4848,64.0,2,6;12,2026-07-06
4849,68.3,1,3,2026-07-06
4880,5.0,1,10,2026-07-07
4885,25.0,2,5;11,2026-07-06
4886,65.0,2,3;9,2026-07-06
4887,56.0,2,3;9,2026-07-06
4901,75.0,2,3;9,2026-07-06
4902,18.0,2,3;9,2026-07-06
4911,60.0,2,6;12,2026-07-06
4912,34.0,2,6;12,2026-07-06
4914,52.0,2,3;9,2026-07-06
4918,15.0,1,3,2026-07-06
4919,88.0,2,6;12,2026-07-06
4920,30.0,1,2,2026-07-06
4922,150.0,2,6;12,2026-07-06
4923,20.0,1,3,2026-07-06
4925,40.0,1,3,2026-07-06
4926,20.0,2,3;9,2026-07-06
4927,52.0,2,6;12,2026-07-06
4928,230.0,1,9,2026-07-06
4929,12.0,1,3,2026-07-06
4931,57.0,1,9,2026-07-06
4932,65.0,1,3,2026-07-06
4933,15.0,2,6;12,2026-07-06
4935,2.0,1,12,2026-07-06
4936,10.0,2,1;7,2026-07-06
4951,46.0,2,3;9,2026-07-06
4956,38.0,2,3;9,2026-07-06
4958,100.0,2,3;9,2026-07-06
4960,5.0,1,3,2026-07-06
4966,290.0,1,3,2026-07-06
4967,106.0,2,6;12,2026-07-06
4968,55.0,2,3;9,2026-07-06
4970,50.0,2,3;9,2026-07-06
4971,96.0,2,6;12,2026-07-06
4972,63.0,1,3,2026-07-06
4973,230.0,2,3;9,2026-07-06
4975,180.0,2,3;9,2026-07-06
4976,100.0,2,6;12,2026-07-06
4977,40.0,2,3;9,2026-07-06
4979,60.0,2,6;12,2026-07-06
4980,64.0,2,3;9,2026-07-06
4985,130.0,1,12,2026-07-06
4990,6.0,2,3;9,2026-07-06
4992,54.0,2,5;11,2026-07-06
4994,70.0,2,3;9,2026-07-06
4996,24.0,2,4;10,2026-07-06
4997,38.0,2,3;9,2026-07-06
4998,24.0,1,3,2026-07-06
500A,76.0,1,4,2026-07-06
5010,5.0,2,6;12,2026-07-07
5011,85.0,2,3;9,2026-07-06
5013,40.0,1,3,2026-07-06
5015,50.0,2,6;12,2026-07-06
5016,20.0,2,3;9,2026-07-06
5018,55.0,2,2;8,2026-07-06
5019,36.0,2,3;9,2026-07-06
5020,34.0,2,3;9,2026-07-06
5021,165.0,2,3;9,2026-07-06
5027,2.0,1,12,2026-07-06
5032,62.0,2,4;10,2026-07-06
5035,3.0,1,12,2026-07-06
5036,45.0,2,3;9,2026-07-06
5038,21.0,1,12,2026-07-06
505A,30.0,1,5,2026-07-06
5071,59.0,1,3,2026-07-06
5074,5.8,1,6,2026-07-06
5076,100.0,2,3;9,2026-07-06
5078,160.0,1,2,2026-07-06
5079,120.0,2,4;10,2026-07-06
5101,172.0,2,6;12,2026-07-06
5105,135.0,2,6;12,2026-07-06
5108,125.0,2,6;12,2026-07-06
5110,84.0,2,6;12,2026-07-06
5121,86.0,2,3;9,2026-07-06
5122,120.0,2,3;9,2026-07-06
5133,5.0,1,3,2026-07-06
5139,78000.0,1,12,2026-07-07
5142,30.0,1,3,2026-07-06
5161,184.0,2,3;9,2026-07-06
5162,24.0,2,3;9,2026-07-06
5184,190.0,2,6;12,2026-07-06
5185,100.0,2,3;9,2026-07-06
5186,170.0,2,3;9,2026-07-06
5187,47.0,2,6;12,2026-07-06
5189,50.0,1,3,2026-07-06
5192,191.0,2,3;9,2026-07-06
5194,10.0,1,3,2026-07-06
5195,100.0,2,3;9,2026-07-06
5199,83.0,1,3,2026-07-06
5201,210.0,2,6;12,2026-07-06
5202,20.0,1,3,2026-07-07
5204,72.0,1,3,2026-07-06
5208,98.0,2,3;9,2026-07-06
5210,150.0,2,3;9,2026-07-06
5214,160.0,2,6;12,2026-07-06
5218,25.0,1,10,2026-07-06
5232,120.0,2,3;9,2026-07-06
5233,120.0,2,3;9,2026-07-06
5237,43.0,1,3,2026-07-06
5244,2.93,1,3,2026-07-06
5250,21.0,1,11,2026-07-06
5252,7.0,1,3,2026-07-06
5257,105.0,1,12,2026-07-06
5261,120.0,1,3,2026-07-06
5262,26.0,2,3;9,2026-07-06
5268,17.0,1,3,2026-07-06
5269,10.0,2,3;9,2026-07-06
5271,85.0,2,2;8,2026-07-06
5273,43.5,2,3;9,2026-07-06
5279,45.0,1,3,2026-07-06
5280,90.0,1,3,2026-07-06
5282,10.0,2,3;9,2026-07-06
5283,70.0,1,6,2026-07-06
5284,112.0,1,3,2026-07-06
5285,60.0,1,3,2026-07-06
5287,20.0,1,3,2026-07-06
5288,70.0,2,3;9,2026-07-06
5290,40.0,1,3,2026-07-06
5301,30.0,2,6;12,2026-07-06
5302,200.0,2,6;12,2026-07-06
5304,100.0,2,3;9,2026-07-06
5310,145.0,1,12,2026-07-06
5331,100.0,2,3;9,2026-07-06
5332,120.0,2,3;9,2026-07-06
5333,106.0,2,3;9,2026-07-06
5334,210.0,2,3;9,2026-07-06
5344,110.0,2,3;9,2026-07-06
5351,90.0,2,3;9,2026-07-07
5355,20.0,1,3,2026-07-06
5356,52.0,2,3;9,2026-07-06
5357,90.0,2,3;9,2026-07-06
5363,30.6,2,3;9,2026-07-06
5367,23.0,2,3;9,2026-07-06
5368,40.0,1,3,2026-07-06
5380,37.5,1,6,2026-07-06
5381,10.0,1,3,2026-07-06
5384,77.0,2,3;9,2026-07-06
5388,40.0,2,3;9,2026-07-06
5391,70.0,2,3;9,2026-07-06
5393,65.0,2,3;9,2026-07-06
5401,24.0,2,3;9,2026-07-06
5406,80.0,2,3;9,2026-07-06
5408,20.0,2,3;9,2026-07-06
5410,100.0,2,3;9,2026-07-06
5411,70.0,2,3;9,2026-07-07
5423,40.0,2,3;9,2026-07-06
5440,70.0,2,3;9,2026-07-06
5444,400.0,2,3;9,2026-07-06
5445,100.0,2,3;9,2026-07-06
5446,30.0,2,3;9,2026-07-06
5449,34.0,2,3;9,2026-07-06
5451,53.0,2,3;9,2026-07-06
5458,45.0,1,3,2026-07-06
5461,113.0,2,3;9,2026-07-06
5463,52.0,2,3;9,2026-07-06
5464,34.0,2,3;9,2026-07-06
546A,96.0,2,3;9,2026-07-06
5471,52.0,2,3;9,2026-07-06
547A,20.0,1,3,2026-07-06
5480,220.0,2,3;9,2026-07-06
5482,150.0,2,3;9,2026-07-06
5484,35.0,2,3;9,2026-07-06
548A,44.48,1,3,2026-07-06
5491,5.0,1,3,2026-07-06
549A,21.43,1,3,2026-07-06
550A,70.0,1,3,2026-07-06
5527,25.0,1,11,2026-07-06
5533,70.0,1,9,2026-07-06
5535,9.0,2,3;9,2026-07-06
5541,130.0,2,3;9,2026-07-06
5542,25.0,2,6;12,2026-07-06
5563,13.0,2,6;12,2026-07-06
5570,7.0,1,9,2026-07-06
5571,32.7,1,3,2026-07-06
5572,0.24,1,12,2026-07-07
5576,125.0,2,3;9,2026-07-06
5578,7.0,1,8,2026-07-06
5582,20000.0,1,6,2026-07-07
5588,3.9,1,12,2026-07-06
5589,67.0,1,12,2026-07-06
5592,40.0,1,3,2026-07-06
5599,17.0,1,3,2026-07-06
559A,20.95,1,6,2026-07-06
5602,60.0,2,3;9,2026-07-06
5603,40.0,1,3,2026-07-06
5609,25.0,1,3,2026-07-06
5612,25.0,1,3,2026-07-07
5621,35.0,1,3,2026-07-06
5631,92.0,2,3;9,2026-07-06
5632,104.0,2,3;9,2026-07-06
5644,140.0,2,3;9,2026-07-07
5658,10.0,2,3;9,2026-07-06
5659,46.0,2,3;9,2026-07-06
5660,45.0,2,3;9,2026-07-06
5695,100.0,2,3;9,2026-07-06
5697,30.0,1,3,2026-07-06
5698,15.0,1,6,2026-07-06
5699,32.0,1,12,2026-07-06
5702,70.0,2,3;9,2026-07-06
5703,100.0,2,3;9,2026-07-06
5704,20000.0,1,4,2026-07-07
5706,280.0,2,3;9,2026-07-06
5707,50.0,1,3,2026-07-07
5711,116.0,2,3;9,2026-07-06
5713,207.0,2,3;9,2026-07-06
5714,338.0,1,3,2026-07-06
5715,80.0,2,3;9,2026-07-06
5724,12.0,2,3;9,2026-07-06
5726,13.0,1,3,2026-07-06
5729,90.0,2,3;9,2026-07-07
5741,58.0,2,3;9,2026-07-06
5742,41.0,2,3;9,2026-07-06
5753,15.0,2,3;9,2026-07-06
5757,100.0,2,3;9,2026-07-06
5801,22.0,2,3;9,2026-07-06
5802,39.0,2,3;9,2026-07-06
5803,38.0,2,3;9,2026-07-06
5805,250.0,2,3;9,2026-07-06
5816,70.0,2,6;12,2026-07-06
5817,15.0,1,2,2026-07-06
5819,66.0,2,6;12,2026-07-06
5820,17.0,1,3,2026-07-06
5821,53.0,2,3;9,2026-07-06
5830,80.0,2,3;9,2026-07-06
5831,98.0,2,3;9,2026-07-06
5832,102.0,2,3;9,2026-07-06
5834,115.0,2,3;9,2026-07-06
5842,34.0,2,6;12,2026-07-06
5843,22.0,1,9,2026-07-06
5844,105.0,2,3;9,2026-07-06
5845,48.0,1,3,2026-07-06
5851,104.0,2,6;12,2026-07-06
5852,34.0,2,3;9,2026-07-06
5857,135.0,2,3;9,2026-07-06
5858,20.0,1,3,2026-07-06
5867,50.0,1,12,2026-07-06
5868,40.0,1,12,2026-07-06
5869,60.0,2,3;9,2026-07-06
5870,30.0,1,3,2026-07-06
5871,55.0,1,12,2026-07-06
5885,29.0,1,5,2026-07-06
5888,73.0,1,1,2026-07-06
5889,86.0,2,1;7,2026-07-06
5891,23.0,1,12,2026-07-06
5900,25.0,1,2,2026-07-06
5901,186.0,2,3;9,2026-07-06
5902,100.0,2,3;9,2026-07-06
5903,42.0,1,6,2026-07-06
5905,20.0,1,3,2026-07-06
5906,18.0,1,3,2026-07-06
5909,28.0,2,3;9,2026-07-06
5911,130.0,2,3;9,2026-07-06
5915,70.0,2,3;9,2026-07-06
5918,100.0,2,3;9,2026-07-06
5921,140.0,1,9,2026-07-06
5922,450.0,1,3,2026-07-06
5923,50.0,2,3;9,2026-07-06
5928,8.0,2,3;9,2026-07-06
5929,146.0,2,3;9,2026-07-06
5930,74.0,2,3;9,2026-07-06
5932,25.0,2,5;11,2026-07-06
5933,45.0,2,3;9,2026-07-06
5936,43.0,1,3,2026-07-06
5938,90.0,2,3;9,2026-07-06
5939,30.0,1,3,2026-07-06
5940,30.0,1,3,2026-07-06
5941,100.0,1,3,2026-07-06
5942,28.0,2,5;11,2026-07-06
5943,94.0,2,6;12,2026-07-06
5945,83.0,1,3,2026-07-06
5946,46.0,2,6;12,2026-07-06
5947,106.0,2,3;9,2026-07-06
5949,70.0,2,3;9,2026-07-06
5950,2.5,1,12,2026-07-06
5951,28.0,1,3,2026-07-06
5952,5.0,1,3,2026-07-06
5955,1.0,1,3,2026-07-06
5956,13.0,2,3;9,2026-07-06
5957,24.0,2,6;12,2026-07-06
5958,210.0,2,3;9,2026-07-06
5959,42.0,2,6;12,2026-07-06
5962,50.0,1,3,2026-07-06
5965,40.0,2,6;12,2026-07-06
5966,80.0,2,3;9,2026-07-06
5967,9.0,1,5,2026-07-06
5969,30.0,1,3,2026-07-06
5970,98.0,2,3;9,2026-07-06
